id,name,description,category,requirementNumber,order,requirementType,parentRequirement,numberOfChildrenToComplete,completeAllChildren,effectiveDate
tenderfoot-1,Tenderfoot Requirement 1,"Present yourself to your leader, properly dressed, before going on an overnight camping trip. Show the camping gear you will use. Show the right way to pack and carry it.",camping,1,0,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-2,Tenderfoot Requirement 2,Spend at least one night on a patrol or troop campout. Sleep in a tent you have helped pitch.,camping,2,1,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-3,Tenderfoot Requirement 3,"On the campout, assist in preparing and cooking one of your patrol’s meals. Tell why it is important for each patrol member to share in meal preparation and cleanup, and explain theimportance of eating together.",cooking,3,2,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-4a,Tenderfoot Requirement 4a,Demonstrate how to whip and fuse the ends of a rope.,ropes and knots,4a,0,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-4b,Tenderfoot Requirement 4b,Demonstrate that you know how to tie the following knots and tell what their uses are: two half hitches and the taut-line hitch.,ropes and knots,4b,1,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-4c,Tenderfoot Requirement 4c,"Using the EDGE method, teach another person how to tie the square knot.",ropes and knots,4c,2,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-5,Tenderfoot Requirement 5,"Explain the rules of safe hiking, both on the highway and cross-country, during the day and at night. Explain what to do if you are lost.",hiking,5,4,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-6,Tenderfoot Requirement 6,"Demonstrate how to display, raise, lower, and fold the American flag.",citizenship,6,5,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-7,Tenderfoot Requirement 7,"Repeat from memory and explain in your own words the Scout Oath, Law, motto, and slogan.",citizenship,7,6,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-8,Tenderfoot Requirement 8,"Know your patrol name, give the patrol yell, and describe your patrol flag.",citizenship,8,7,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-9,Tenderfoot Requirement 9,Explain the importance of the buddy system as it relates to your personal safety on outings and in your neighborhood. Describe what a bully is and how you should respond to one.,safety,9,8,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-10a,Tenderfoot Requirement 10a,"
Record your best in the following tests: Push-ups, pull-ups, sit-ups, standing long jump, 1/4 mile walk/run",fitness,10a,0,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-10b,Tenderfoot Requirement 10b,Show improvement in the activities listed in requirement 10a after practicing for 30 days.,fitness,10b,1,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-11,Tenderfoot Requirement 11,Identify local poisonous plants; tell how to treat for exposure to them.,first aid,11,10,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-12a,Tenderfoot Requirement 12a,Demonstrate how to care for someone who is choking.,first aid,12a,0,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-12b,Tenderfoot Requirement 12b,Show first aid for the following:,first aid,12b,1,requirement,tenderfoot-rank,,TRUE,1/1/2014
tenderfoot-12b-1,Tenderfoot Requirement 12b-1,Simple cuts and scrapes,first aid,12b-1,2,requirement,tenderfoot-12b,,TRUE,1/1/2014
tenderfoot-12b-2,Tenderfoot Requirement 12b-2,Blisters on the hand and foot,first aid,12b-2,3,requirement,tenderfoot-12b,,TRUE,1/1/2014
tenderfoot-12b-3,Tenderfoot Requirement 12b-3,"Minor (thermal/heat) burns or scalds (superficial, or first-degree)",first aid,12b-3,4,requirement,tenderfoot-12b,,TRUE,1/1/2014
tenderfoot-12b-4,Tenderfoot Requirement 12b-4,Bites or stings of insects and ticks,first aid,12b-4,5,requirement,tenderfoot-12b,,TRUE,1/1/2014
tenderfoot-12b-5,Tenderfoot Requirement 12b-5,Venomous snakebite,first aid,12b-5,6,requirement,tenderfoot-12b,,TRUE,1/1/2014
tenderfoot-12b-6,Tenderfoot Requirement 12b-6,Nosebleed,first aid,12b-6,7,requirement,tenderfoot-12b,,TRUE,1/1/2014
tenderfoot-12b-7,Tenderfoot Requirement 12b-7,Frostbite and sunburn,first aid,12b-7,8,requirement,tenderfoot-12b,,TRUE,1/1/2014
